Geneid	final_project/original_files/tophat_mapping_hits_results.sam
Zm00001d027230	1
Zm00001d027231	0
Zm00001d027232	0
Zm00001d027233	0
Zm00001d027234	1
Zm00001d027235	0
Zm00001d027236	0
Zm00001d027239	0
Zm00001d027240	0
Zm00001d027242	0
Zm00001d027244	0
Zm00001d027245	0
Zm00001d027248	0
Zm00001d027249	0
Zm00001d027250	0
Zm00001d027252	0
Zm00001d027253	0
Zm00001d027254	1
Zm00001d027256	0
Zm00001d027257	0
Zm00001d027258	0
Zm00001d027259	0
Zm00001d027263	0
Zm00001d027265	0
Zm00001d027266	2
Zm00001d027267	0
Zm00001d027268	0
Zm00001d027269	0
Zm00001d027271	0
Zm00001d027273	0
Zm00001d027275	0
Zm00001d027276	1
Zm00001d027277	0
Zm00001d027278	0
Zm00001d027279	0
Zm00001d027280	0
Zm00001d027281	0
Zm00001d027283	0
Zm00001d027285	0
Zm00001d027286	0
Zm00001d027287	0
Zm00001d027288	0
Zm00001d027289	0
Zm00001d027290	0
Zm00001d027291	0
Zm00001d027292	0
Zm00001d027293	1
Zm00001d027295	0
Zm00001d027296	0
Zm00001d027298	0
Zm00001d027299	0
Zm00001d027300	0
Zm00001d027302	4
Zm00001d027303	0
Zm00001d027304	1
Zm00001d027305	0
Zm00001d027306	0
Zm00001d027307	0
Zm00001d027308	0
Zm00001d027309	4
Zm00001d027310	0
Zm00001d027311	0
Zm00001d027312	2
Zm00001d027313	0
Zm00001d027314	1
Zm00001d027315	0
Zm00001d027316	0
Zm00001d027317	0
Zm00001d027318	0
Zm00001d027319	1
Zm00001d027320	0
Zm00001d027321	0
Zm00001d027322	0
Zm00001d027323	1
Zm00001d027324	0
Zm00001d027325	0
Zm00001d027326	0
Zm00001d027327	0
Zm00001d027329	0
Zm00001d027330	0
Zm00001d027332	0
Zm00001d027333	0
Zm00001d027334	3
Zm00001d027335	0
Zm00001d027337	0
Zm00001d027338	0
Zm00001d027339	0
Zm00001d027340	9
Zm00001d027341	0
Zm00001d027342	0
Zm00001d027343	0
Zm00001d027344	0
Zm00001d027345	0
Zm00001d027346	0
Zm00001d027347	0
Zm00001d027348	0
Zm00001d027349	1
Zm00001d027350	0
Zm00001d027351	1
Zm00001d027352	0
Zm00001d027353	0
Zm00001d027354	0
Zm00001d027355	0
Zm00001d027359	0
Zm00001d027360	0
Zm00001d027361	0
Zm00001d027362	0
Zm00001d027363	0
Zm00001d027365	0
Zm00001d027366	2
Zm00001d027367	0
Zm00001d027368	0
Zm00001d027369	0
Zm00001d027370	0
Zm00001d027371	0
Zm00001d027373	0
Zm00001d027374	0
Zm00001d027375	0
Zm00001d027376	0
Zm00001d027377	0
Zm00001d027378	0
Zm00001d027379	0
Zm00001d027380	0
Zm00001d027381	0
Zm00001d027382	0
Zm00001d027383	1
Zm00001d027384	2
Zm00001d027385	0
Zm00001d027386	0
Zm00001d027387	0
Zm00001d027388	0
Zm00001d027389	0
Zm00001d027391	0
Zm00001d027392	9
Zm00001d027393	0
Zm00001d027394	0
Zm00001d027395	2
Zm00001d027396	0
Zm00001d027397	0
Zm00001d027399	0
Zm00001d027400	0
Zm00001d027401	0
Zm00001d027402	0
Zm00001d027403	0
Zm00001d027404	0
Zm00001d027405	1
Zm00001d027406	0
Zm00001d027407	0
Zm00001d027408	0
Zm00001d027409	0
Zm00001d027411	1
Zm00001d027412	3
Zm00001d027414	0
Zm00001d027415	1
Zm00001d027416	0
Zm00001d027417	0
Zm00001d027419	0
Zm00001d027421	0
Zm00001d027422	1
Zm00001d027423	0
Zm00001d027424	0
Zm00001d027425	0
Zm00001d027427	0
Zm00001d027428	0
Zm00001d027429	0
Zm00001d027430	0
Zm00001d027431	0
Zm00001d027434	0
Zm00001d027435	1
Zm00001d027436	0
Zm00001d027437	0
Zm00001d027439	0
Zm00001d027440	0
Zm00001d027441	0
Zm00001d027442	1
Zm00001d027443	0
Zm00001d027444	0
Zm00001d027445	1
Zm00001d027446	0
Zm00001d027447	0
Zm00001d027448	0
Zm00001d027449	0
Zm00001d027450	3
Zm00001d027451	1
Zm00001d027453	0
Zm00001d027454	0
Zm00001d027455	3
Zm00001d027456	3
Zm00001d027457	0
Zm00001d027458	1
Zm00001d027459	0
